dex_number,name,type_01,type_02,ability_01,ability_02,hidden_ability,egg_group_01,egg_group_02,is_legendary,bio,hp,attack,defense,sp_attack,sp_defense,speed
#0011,Metapod,Bug,,Shed,,,Bug,,False,"Metapod is a Bug-type Pokémon introduced in Generation I. It evolves from Caterpie starting at level 7 and evolves into Butterfree starting at level 10. Metapod is an insect Pokémon that resembles a green chrysalis. Its body is crescent-shaped with several segments making up the lower point. The front of Metapod's shell resembles a face with heavy-lidded eyes and a sharply pointed nose. The back of its shell consists of several geometrically shaped portions and projections. Metapod's soft body is protected by a hard outer shell as it undergoes metamorphosis. While this shell is said to be as hard as steel, a sudden, powerful impact could cause its liquid innards to pop out, leaving it completely exposed. Metapod generally remains motionless, rebuilding its cells for evolution. If an enemy discovers Metapod, it is unable to do anything other than harden its outer shell. Metapod lives in temperate forests and jungles, often in groups. Pikipek is a natural predator of Metapod. As shown in Pokémon Sleep, Metapod is known to sleep while using the move Harden constantly to protect its innards. It stays still while sleeping to avoid getting attacked by foes. Metapod evolves from Caterpie and evolves into Butterfree.",50,20,55,25,25,30
#0012,Butterfree,Bug, Flying,Compound,,Tinted Lens,Bug,,False,"Butterfree is a dual-type Bug/Flying Pokémon introduced in Generation I. It evolves from Metapod starting at level 10. It is the final form of Caterpie. Butterfree can Gigantamax into Gigantamax Butterfree if it has the Gigantamax Factor. Butterfree is a lepidopteran insect Pokémon which resembles a vaguely anthropomorphic butterfly with a purple body. Unlike true insects, it only has two body segments and four light blue legs. The upper pair of its legs resemble small, three-fingered hands, while the lower pair resembles long, digit-less feet. Butterfree has two black antennae, a light blue snout with two fangs underneath, and large, red compound eyes. Its two pairs of wings are white with black venation. Two oval scales on a female Butterfree's lower wings are black, but they are white on a male. The wings of Butterfree are coated with poisonous scales that easily fall off continuously as it flies. If inhaled, it results in several status conditions. It will defend Caterpie from bird Pokémon using this powder. This powder also repels water, enabling it to fly and gather honey even in the rain. Butterfree can use its sensitive antenna to detect the odors of blooming flowers six miles from its nest in search of nectar, which it carries with the hairs of its legs. Sometimes, it has territorial disputes with Cutiefly over fields of flowers. It also consumes sap from trees pierced by Heracross, as seen in the Pokémon the Series episode A Sappy Ending. Butterfree is found in temperate forests and jungles, but it has also been observed flying near the ocean as part of its migratory breeding pattern. As shown in Pokémon Sleep, Butterfree is known to sleep while flapping its wings. It tends to accidentally scatter highly toxic dust while sleeping. Butterfree has a Gigantamax Form. As Gigantamax Butterfree, its wings become shades of bright and dark green with a white pattern on them. At the base of the wings are a fur-like circle, which attaches to Gigantamax Butterfree's back. Its antennae become bright green as well, and extend to the point where the tip bends, and three red clouds surround them. Its eyes glow bright red. Several green scales, created from crystallized Gigantamax energy, can be seen floating around Gigantamax Butterfree. These are its most effective weapons, capable of causing paralysis, poisoning, or sleep. Gigantamax Butterfree scatters these scales by the winds that it generates with each flap of its wings; these winds are powerful enough to lift a 10-ton truck. Gigantamax Butterfree is the only known Pokémon capable of using the G-Max Move G-Max Befuddle. Butterfree evolves from Metapod and is the final form of Caterpie.",60,45,50,80,80,70
#0013,Weedle,Bug, Poison,Shield,,Run Away,Bug,,False,"Weedle is a dual-type Bug/Poison Pokémon introduced in Generation I. It evolves into Kakuna starting at level 7, which evolves into Beedrill starting at level 10. Weedle is a larval insect Pokémon with a segmented body ranging in color from yellow to reddish-brown. Each segment of its body is a sphere. It has a bulbous red nose, two small, black eyes on its face and two spherical feet on each body segment. The combination of red and yellow in its color scheme creates a bright warning to predators that it is poisonous. Weedle has a conical, two-inch venomous stinger on its head and a barbed one on its tail. Weedle can retaliate against attackers and those who step on it with its strong toxin. It can distinguish its favorite kinds of leaves using its acute sense of smell. As a young Bug-type Pokémon, its daily appetite for leaves matches its weight. Weedle can be found in temperate forests and usually hides in grass, bushes, and under the leaves it eats. Weedles evolves into Kakuna, which evolves into Beedrill.",40,35,30,20,20,50
#0014,Kakuna,Bug, Poison,Shed,,,Bug,,False,"Kakuna is a dual-type Bug/Poison Pokémon introduced in Generation I. It evolves from Weedle starting at level 7 and evolves into Beedrill starting at level 10. Kakuna is a yellow, insect cocoon-like Pokémon. Kakuna has a dome-shaped head and black, triangular eyes with glowing white pupils. It has two scythe-like arms in the middle of its body. When it comes close to evolving, its body gives off heat that makes it warm to the touch. Kakuna remains virtually immobile and waits for evolution, often hanging from tree branches by long strands of silk. When attacked, however, it can extend its poison barbs. Kakuna nests in temperate forests and misty wooded areas. Occasionally, it will also nest at the mouth of tunnels and caves, as seen in Pokémon Snap. Kakuna evolves from Weedle and evolves into Beedrill.",45,25,50,25,25,35
#0015,Beedrill,Bug, Poison,Swarm,,Sniper,Bug,,False,"Beedrill is a dual-type Bug/Poison Pokémon introduced in Generation I. It evolves from Kakuna starting at level 10. It is the final form of Weedle. Beedrill can Mega Evolve into Mega Beedrill using the Beedrillite. Beedrill is an insect Pokémon which mostly resembles a bipedal, yellow wasp; however, it only has four legs instead of six and lacks pigment pits. Beedrill's head is round with a slightly pointed mouth; large, red eyes; and black antennae with a sharp bend in the middle. Its forelegs are tipped with long, conical stingers. It stands on its other two legs, which are long, segmented, and insectoid in shape. Beedrill has two pairs of rounded, veined wings and another stinger on its yellow-and-black striped abdomen. The abdominal stinger contains Beedrill's most potent poison. Beedrill is highly territorial and unlike real bees, Beedrill live in colonies rather than true ""hives"", and they work together to solve basic problems regarding food, territory, and reproduction . As seen in the Pokémon the Series episode Challenge of the Samurai, Beedrill seems to be especially concerned with the welfare of Weedle and Kakuna, and it will respond aggressively to those that disturb them. Disturbing one Beedrill will cause the whole colony to attack. It flies at high speed and attacks using the large venomous stingers on its forelegs and abdomen. It will then take the victims of its attacks back to its nest for food. Beedrill nests in temperate forests and misty wooded areas. It is known to collect pollen, which Teddiursa combines with fruits to concoct honey. Beedrill have been seen living in hives and producing honey. Prior to Generation V, Twineedle was its signature move. Beedrill can Mega Evolve into Mega Beedrill. As Mega Beedrill, it gains more defined features. The antennae are shorter and T-shaped. Its eyes become longer and sleeker. It now has three pairs of wings; the uppermost pair is larger with black trim along the top. Its stingers become longer and larger, resembling lances. Additional conical, black-and-yellow stingers with white tips take the place of its legs. Its abdomen becomes larger, grooved, and is attached to its thorax by a black structure. A similar black structure connects its head and thorax. The stinger on its abdomen is now a pale yellow, and it now has black stripes over its entire body. Fast-acting poison is stored in the stingers on its limbs, while the tail stinger produces a slow-acting poison that is used to finish opponents. The instantaneous poisons are instead used to prevent the foe from fleeing. Beedrill evolves from Kakuna and is the final form of Weedle.",65,80,40,45,80,75
#0016,Pidgey,Normal, Flying,Keen, Tangled,Big Pecks,Flying,,False,"Pidgey is a dual-type Normal/Flying Pokémon introduced in Generation I. It evolves into Pidgeotto starting at level 18, which evolves into Pidgeot starting at level 36. Pidgey is a small, plump-bodied avian Pokémon. It is primarily brown with a cream-colored face, underside, and flight feathers. On top of its head is a short crest of three tufts. The center crest feathers are brown and the outer two tufts are cream-colored. Just under its crest are its narrow eyes which have white sclera and pupil along with its black irises. Angular black marking extend from behind its eyes and continue down its cheeks. It has a short, stubby beak and feet with two toes in front and one in back. Both its beak and feet are a grayish-pink. It has a short, brown tail made of three feathers. Pidgey has an extremely sharp sense of direction and homing instincts. It can travel straight back to its nest regardless of how far away they might have flown. It is a docile Pokémon and generally prefers to flee from its enemies rather than fight them. By flapping its wings rapidly, it can whip up dust clouds and create whirlwinds to protect itself and flush out potential prey. Pidgey is very common throughout its range and can often be seen in meadows and temperate forests. Ekans and Sneasel are natural predators of Pidgey. Pidgey preys on Seedot. In Generation III, Feather Dance was its signature move, but other Pokémon could still inherit it via breeding. Pidgey evolves into Pidgeotto, which evolves into Pidgeot.",40,45,40,35,35,56
#0017,Pidgeotto,Normal, Flying,Keen, Tangled,Big Pecks,Flying,,False,"Pidgeotto is a dual-type Normal/Flying Pokémon introduced in Generation I. It evolves from Pidgey starting at level 18 and evolves into Pidgeot starting at level 36. Pidgeotto is a raptor-like avian Pokémon. It is covered with brown feathers, has a cream-colored face, underside, and flight feathers. It has a crest of pinkish-red feathers on its head and black, angular markings behind its black eyes. The plumage of its tail has alternating red and yellow feathers with ragged tips. Pidgeotto's beak and legs are pink. Two of its toes point forward, while one points backward. Additionally, it has powerful, sharp talons that it uses to grasp prey. Pidgeotto is a powerful flier capable of carrying prey several miles to its nest. It has amazing vision, which helps it locate preferred prey Pokémon such as Exeggcute and Magikarp. The Pokémon the Series episode Ash Catches a Pokémon depicts it preying on Caterpie. Pidgeotto claims a sprawling territory of more than 60 miles , which it defends fiercely. Its nest is usually in the center of its territory and it circles its territory throughout the day, looking out for food and intruders. It is most often found in temperate forests. In Generation III, Feather Dance was its signature move, but other Pokémon could still inherit it via breeding. Pidgeotto evolves from Pidgey and evolves into Pidgeot.",63,60,55,50,50,71
#0018,Pidgeot,Normal, Flying,Keen, Tangled,Big Pecks,Flying,,False,"Pidgeot is a dual-type Normal/Flying Pokémon introduced in Generation I. It evolves from Pidgeotto starting at level 36. It is the final form of Pidgey. Pidgeot can Mega Evolve into Mega Pidgeot using the Pidgeotite. Pidgeot is an avian Pokémon with large wings, sharp talons, and a short, hooked beak. Its glossy plumage is mostly brown with cream-colored underparts and flight feathers. Its head has a decorated crest that is nearly as long as its body. The center feathers of its crest are yellow, while the outer feathers are red. The fan-like feathers of its tail are red or brown. Its beak and legs are pink, and there are three forward-facing toes and one backward-facing toe on each foot. Behind each eye is an angular black marking. Pidgeot's powerful wings are capable of stirring up windstorms in just a few flaps, and it may spread its wings to intimidate enemies. This Pokémon is capable of flying faster than the speed of sound. Its plumage is often described as beautiful, making it a popular choice for skilled Trainers. Pidgeot typically dwells in temperate forests with thick growth and large trees. It is known to prey on Magikarp, which it can spot from great heights. In Generation III, Feather Dance was its signature move, but other Pokémon could still inherit it via breeding. Pidgeot can Mega Evolve into Mega Pidgeot. Pidgeot grows noticeably when it Mega Evolves, developing a larger body and longer, broader wings. Its wingtips and tail feathers are tipped with cyan, and its cream coloring is now white. Its eyes turn magenta and its pupils turn white. Mega Pidgeot has an even more elaborate crest on its head, with a streamer-like magenta plume extending from a mane of yellow feathers. A magenta feather projects from the front of its crest and there is a single magenta highlight on the left side. The crest is sensitive to air currents, acting like a large antenna and stabilizing Mega Pidgeot's flight. Additionally, its increased wing power allows it to fly for two weeks without rest. Pidgeot evolves from Pidgeotto and is the final form of Pidgey.",83,80,75,70,70,91
#0019,Rattata,Normal,,Run, Guts,Hustle,Field,,False,"Rattata is a Normal-type Pokémon introduced in Generation I. It evolves into Raticate starting at level 20. In Alola, Rattata has a dual-type Dark/Normal regional form. It evolves into Alolan Raticate when leveled up at night starting at level 20.",30,56,35,25,35,72
#0020,Raticate,Normal,,Run, Guts,Hustle,Field,,False,"Raticate is a Normal-type Pokémon introduced in Generation I. It evolves from Rattata starting at level 20. In Alola, Raticate has a dual-type Dark/Normal regional form. It evolves from Alolan Rattata when leveled up at night starting at level 20.",55,81,60,50,70,97
#0021,Spearow,Normal, Flying,Keen,,Sniper,Flying,,False,"Spearow is a dual-type Normal/Flying Pokémon introduced in Generation I. It evolves into Fearow starting at level 20. Spearow is an avian Pokémon that is very small. It has rough, brown plumage on its head and three brown tail feathers. It has narrow, dark brown eyes with white pupils and a short, hooked beak that is light pink. The feathers covering its wings are pinkish-red with lighter tips, and it has a beige underside with two thin, horizontal stripes. Its light pink feet have two toes in front and one in the back. Black feathers cover its back. Although inept at other aspects of its flying, such as height and distance, Spearow is still capable of flying quickly to protect its territory. However, it must flap its wings at high speeds to stay aloft. Spearow's loud shrieks can be heard over half a mile away, and are used to warn other of its kind of danger. In the first episode of Pokémon the Series, Spearow is revealed to see in black and white and will chase its foes in a large flock. Spearow are found naturally in open habitats with warmer climates, mainly desolate wastelands and fields, where it hunts for insects. Ekans is a natural predator of Spearow. Spearow preys on Sunkern. Spearow evolves into Fearow.",40,60,30,31,31,70
#0022,Fearow,Normal, Flying,Keen,,Sniper,Flying,,False,"Fearow is a dual-type Normal/Flying Pokémon introduced in Generation I. It evolves from Spearow starting at level 20. Fearow is a large, mostly brown avian Pokémon with a vulturine neck and broad, powerful wings. It has a long, pointed, pink beak and a decorative red coxcomb on top of its head. Its narrow eyes have very small pupils and do not appear to have colored irises. It has shaggy, feathers at the base of its neck and covering the upper portion of its wings. These feathers are cream-colored, as are the tips of its flight feathers. Its sharp-clawed talons are pink, with three toes pointing forward and one pointing backward. Fearow has been around mostly unchanged for many years, as a Pokémon resembling it has been seen on ancient murals. Its large wings and stamina allow it to fly for an entire day without landing. Its long neck and beak allow it to pluck prey from both land and water, and it has even been known to steal from unwary humans. It will shoot upward, and then dive down to catch prey. It will also catch tiny insects that hide underground and circle the ocean for fish. Fearow are found naturally in open habitats with warmer climates, mainly wastelands and desolate fields. Fearow evolves from Spearow.",65,90,65,61,61,100
